Gene A,Gene B,Uniprot A,Uniprot B,Symbol A,Symbol B,,,
5423,200558,P06746,Q8IW19,POLB,APLF,,,
64768,1902,Q9H8X2,Q92633,IPPK,LPAR1,,,
830,80301,P47755,Q8TD55-2,CAPZA2,PLEKHO2,,,
4116,84305,P61326,Q9BRP8-2,MAGOH,WIBG,,,
84993,10277,Q96S82,O95155-2,UBL7,UBE4B,,,
830,30011,P47755,Q96B97,CAPZA2,SH3KBP1,,,
2710,2713,P32189-1,Q14409,GK,GK3P,,,
150684,404636,Q8N668,Q8TCE6-2,COMMD1,FAM45A,,,
2045,284656,Q15375-2,Q5JZY3-2,EPHA7,EPHA10,,,
3749,3748,Q03721-2,Q14003,KCNC4,KCNC3,,,
54859,26610,Q0PNE2-2,Q96EB1-2,C3orf75,ELP4,,,
51397,23412,Q9Y6G5,Q9UBI1,COMMD10,COMMD3,,,
51008,84164,Q8N9N2-2,Q9H1I8,ASCC1,ASCC2,,,
8789,2203,O00757,P09467,FBP2,FBP1,,,
4212,56917,O14770-2,A6NDR6,MEIS2,MEIS3,,,
5874,84958,O00194,Q8IYJ3,RAB27B,SYTL1,,,
23089,26071,Q86TG7-2,Q9BWD3,PEG10,FAM127B,,,
51397,51122,Q9Y6G5,Q86X83,COMMD10,COMMD2,,,
5093,2444,Q15365,P42685,PCBP1,FRK,,,
55662,9546,Q9NWT6,O96018,HIF1AN,APBA3,,,
11243,57405,Q6P1K2,Q9HBM1,PMF1,SPC25,,,
2885,6654,P62993,Q07889,GRB2,SOS1,,,
1827,5530,P53805-2,Q08209-2,RCAN1,PPP3CA,,,
56139,56144,Q9Y5I2-2,Q9UN74-2,PCDHA10,PCDHA4,,,
92597,55233,Q7L9L4,Q9H8S9,MOBKL1A,MOBKL1B,,,
25809,54839,O95922,Q8IUZ0,TTLL1,LRRC49,,,
55697,9896,Q08AM6,Q92562,VAC14,FIG4,,,
9425,54531,Q9Y232-2,Q8N344,CDYL,MIER2,,,
1487,6935,Q13363,P37275,CTBP1,ZEB1,,,
9559,51699,O75436,Q9UBQ0-2,VPS26A,VPS29,,,
81565,85458,Q9GZM8-2,Q155Q3,NDEL1,DIXDC1,,,
11339,54069,O43482,Q9NYP9,OIP5,MIS18A,,,
57144,10298,Q9P286,O96013-2,PAK7,PAK4,,,
5669,5672,P11464-2,Q00888,PSG1,PSG4,,,
54763,152015,Q9HAT0,Q9BZX4,ROPN1,ROPN1B,,,
92399,286423,Q96E11,Q4TT42,MRRF,MRRFP1,,,
114336,114335,UNKNOWN,Q6NT52-2,CGB2,CGB1,,,
9061,9060,O43252,O95340-2,PAPSS1,PAPSS2,,,
5874,54843,O00194,Q9HCH5-8,RAB27B,SYTL2,,,
892,1024,E5RFK5,P49336-2,CCNC,CDK8,,,
55660,23210,O75400-2,Q6NYC1-2,PRPF40A,JMJD6,,,
10933,9643,Q9UBU8-2,Q15014,MORF4L1,MORF4L2,,,
1459,55105,P19784,Q9NW75-2,CSNK2A2,GPATCH2,,,
1175,90416,P53680,Q9BV29-2,AP2S1,C15orf57,,,
92597,9113,Q7L9L4,O95835,MOBKL1A,LATS1,,,
830,146206,P47755,Q6F5E8,CAPZA2,RLTPR,,,
57717,56126,Q9NRJ7,Q9UN67,PCDHB16,PCDHB10,,,
2967,404672,Q13889,Q6ZYL4,GTF2H3,GTF2H5,,,
1993,1995,Q12926-2,Q14576-2,ELAVL2,ELAVL3,,,
8905,11276,P56377,Q9UMZ2-3,AP1S2,SYNRG,,,
30011,219790,Q96B97,Q8IZC4,SH3KBP1,RTKN2,,,
100271849,4207,UNKNOWN,Q02080,MEF2B,LOC729991-MEF2B,,,
6635,6638,P62304,P63162,SNRPE,SNRPN,,,
6660,55553,P35711,P35712,SOX5,SOX6,,,
4010,23648,O60663-2,Q9BWW4-2,LMX1B,SSBP3,,,
445328,7984,A5YM69,Q12774,ARHGEF35,ARHGEF5,,,
64769,10524,Q9HAF1-2,Q92993-2,MEAF6,KAT5,,,
5499,170954,P62136,Q6NYC8,PPP1CA,KIAA1949,,,
126272,57692,Q96D98,Q9HCI5,EID2B,MAGEE1,,,
1527,23023,O15482,O94876,TEX28,TMCC1,,,
1068,7508,Q12798,Q01831,CETN1,XPC,,,
8227,23210,Q02040-2,Q6NYC1-2,AKAP17A,JMJD6,,,
51702,23569,Q9ULW8,Q9UM07,PADI3,PADI4,,,
9470,64599,O60573,O75420,EIF4E2,GIGYF1,,,
55831,56851,Q9P0I2-2,Q9NPA0,TMEM111,C15orf24,,,
55509,3726,Q9NR55,P17275,BATF3,JUNB,,,
8723,401548,O95219,Q5VWJ9,SNX4,SNX30,,,
10477,9921,Q969T4,Q8N5U6-2,UBE2E3,RNF10,,,
79091,22944,Q9BUU2-2,O60870,METTL22,KIN,,,
56139,56140,Q9Y5I2-2,Q9Y5H6-2,PCDHA10,PCDHA8,,,
4109,55810,P43363,Q9P0K8-2,MAGEA10,FOXJ2,,,
6103,23322,Q92834-2,Q68CZ1,RPGR,RPGRIP1L,,,
7408,51466,P50552,Q9UI08-2,VASP,EVL,,,
283208,51043,Q7Z4N8,O15156,P4HA3,ZBTB7B,,,
56139,56137,Q9Y5I2-2,Q9UN75-2,PCDHA10,PCDHA12,,,
2026,2027,P09104,P13929-2,ENO2,ENO3,,,
1163,890,P61024,P20248,CKS1B,CCNA2,,,
51397,404636,Q9Y6G5,Q8TCE6-2,COMMD10,FAM45A,,,
9124,89,O00151,Q08043,PDLIM1,ACTN3,,,
91526,9701,Q8N8A2-2,O75170-2,ANKRD44,PPP6R2,,,
84108,23429,Q9BYE7,Q8N488,PCGF6,RYBP,,,
100423062,3538,B9A064,P0CG05,IGLL5,IGLC2,,,
55957,286826,Q96GY3,Q5TKA1-2,LIN37,LIN9,,,
5634,5636,P11908-2,O60256,PRPS2,PRPSAP2,,,
5426,5427,Q07864,P56282,POLE,POLE2,,,
