cluster,SymbolA,SymbolB,
27,CAPZA2,CNOT6,
624,C16orf75,BLM,
14,NDUFB5,ND5,
1210,CASS4,MICAL1,
22,CDK15,CRABP2,
962,RALBP1,BMP2K,
480,PDLIM7,SLFN12,
139,SSBP3,LMO4,
12,ZNF396,ZKSCAN4,
148,RFC5,RFC2,
1,SNRNP35,RNPC3,
102,RPP25,POP5,
9,TRIM28,ZNF267,
1019,BCL2L15,BAX,
150,DCLRE1C,PRKAG1,
109,PTPDC1,PPP2R2D,
719,SLC37A3,C2orf28,
196,WDR85,RALGAPB,
829,KCNA6,DOLK,
311,HNRPLL,PHYHD1,
19,GDPD1,APOA4,
1,SNRPN,GCFC1,
3,MRPL12,THOC7,
27,CAPZA2,CAPZB,
904,NR1D2,USP48,
41,PNN,CASC3,
1183,BCCIP,EIF6,
68,EIF3M,EIF3B,
54,CETN1,DNAH14,
692,GUCY1B3,FAM54A,
4,BAG5,ABL2,
27,GADD45B,CNOT6L,
89,BTBD6,UBB,
3,MRPL50,MRPL28,
3,MRPL10,MRPL13,
1046,KCMF1,IDH2,
127,DEFB127,ACTR10,
38,STMN4,TRAPPC4,
173,VCP,UBE4B,
2,MIER2,SIN3A,
48,RBM7,SLC4A1AP,
284,MYL6,MYH14,
93,RUVBL1,INO80D,
1,DDX23,SNRNP40,
24,CUL5,SOCS4,
216,SCN3B,PEX10,
55,LTBR,ZNF724P,
8,LGALS9,LGALS9B,
33,PSMB1,PSMG1,
18,CCND3,CDK2,
2,GATAD2B,MTA2,
834,RPA2,RPA3,
33,PSMB3,PSMF1,
12,ZSCAN1,ZNF213,
986,SLC35A5,TNKS,
30,MYCL1,BRD8,
200,SIX2,EYA2,
247,KCNG4,CST2,
7,ILF2,PUM2,
92,AIMP1,IARS,
20,PIH1D1,POLR2D,
12,ZNF483,SCAND1,
705,HLA-G,HLA-C,
52,TCF4,CBFA2T3,
2,MXD3,SAP130,
815,FERMT3,IPP,
62,SEPT12,SEPT11,
66,DTNBP1,AP3B2,
15,DGUOK,MAP2,
20,GPN2,POLR2J,
396,PRPF40B,RBM25,
30,MEAF6,BRD8,
828,SUV39H1,C16orf48,
2,PHF23,SIN3A,
1,TSSC4,ZNHIT2,
189,GINS3,TIPIN,
574,GTF2A1,GTF2A2,
52,TCF4,ID3,
42,HIST1H3A,CHAF1B,
751,TBRG4,PNPT1,
219,PDK3,PDHA1,
55,LTBR,THAP3,
120,SNRNP27,PAK3,
3,MRPL50,MRPL27,
340,IKZF5,SLTM,
23,SMARCE1,SS18,
287,TNFSF13B,NF1,
2,PHF20L1,CHD3,
3,MRPL28,MRPL39,
36,TTC30A,TTC26,
1030,SMAD9,LEMD3,
98,TESK2,HSP90AA5P,
14,NDUFS6,NDUFA8,
40,MAGIX,ANAPC4,
39,CDC25B,FBXW11,
537,CCDC116,PAPSS1,
1,LSM5,LSM2,
20,DOM3Z,ARMC5,
14,NDUFB11,NDUFV1,
27,TEX13A,BTG3,
62,SEPT12,SEPT7,
3,MRPL12,MRPL47,
25,DVL3,CRNKL1,
66,DTNBP1,C11orf2,
27,MMP7,CNOT2,
12,ZNF397,ZSCAN21,
571,RAGE,PNPO,
161,DGCR8,CENPI,
1233,TRMT11,TRMT112,
68,EIF3G,EIF3B,
11,CDK8,MED4,
1,SNRPE,TOE1,
626,C1orf111,MGLL,
714,AIFM1,APOOL,
4,HSPBP1,HSF2,
787,RHOJ,PARD6G,
440,MAGED2,RIC8B,
372,ZNF398,ZNF777,
3,MRPL10,MRPL30,
473,LRRC4C,SULF1,
16,MRPS15,MRPS31,
23,SMARCE1,SMARCD2,
3,MRPL42,MRPL45,
183,SELE,DIP2B,
3,MRPL50,ICT1,
11,MED7,MED29,
88,TRIM44,TAF1C,
3,MRPL42,MRPL40,
21,RPL14,KIAA0020,
246,SLC22A13,SEMG2,
265,ENOPH1,THEM4,
4,TBC1D23,HSPA8,
259,ZNF662,HIST1H1D,
3,MRPL50,MRPL2,
27,MMP7,C2orf29,
1,SNRPN,EAPP,
63,UNC119,C12orf51,
27,CNOT7,RAVER1,
75,SMR3A,VMAC,
3,MRPS30,MRP63,
127,DEFB127,DCTN6,
743,HRC,ZNF430,
187,CCDC106,TERF2,
1,SYF2,C2orf3,
16,MRPS11,MRPS15,
7,ELAVL2,APOBEC3F,
14,NDUFB11,NDUFS6,
23,SMARCD1,SMARCC1,
23,BCL7A,PHF10,
83,PSMD7,PSMD3,
42,HIST1H3A,MMS22L,
436,WNT10B,JMJD8,
2,RBBP7,GATAD1,
1209,ASXL2,MBD6,
244,PLXNB1,SMPX,
7,ELAVL2,YTHDC1,
112,GTF2E2,SLK,
490,WDR1,ATRX,
610,MAGOH,RBM8A,
13,AAGAB,AP2A1,
150,PRKAB2,NEB,
2,PHF20L1,MTA2,
578,DDX6,DCP1A,
38,KANK4,TRAPPC4,
15,ARMC1,SYN1,
2,PHF20L1,MTA1,
295,C19orf75,KIAA1324L,
45,FAM45A,DSCR3,
847,LDHA,LDHB,
12,ZNF444,ZKSCAN4,
1008,CTSO,GRN,
319,SLC25A32,CCDC25,
3,MRPL35,MRPS30,
1,CD2BP2,TXNL4A,
38,TTC15,TRAPPC6B,
766,TAF15,DNPEP,
333,GDF3,IDH3B,
36,TTC30B,TTC26,
1,SNRPE,TGS1,
2,ZNF704,ARID4B,
92,KARS,DARS,
377,NELL1,ZNF260,
48,EXOSC3,EXOSC5,
4,METTL21A,HSPBP1,
3,MRPL47,MRPL55,
3,MRPL47,MRPL22,
40,CDC16,CDC27,
220,RNF166,HECTD2,
3,MRPL47,MRPL11,
19,DDX31,LYZ,
496,MDM4,TP73,
1091,VAV1,NUB1,
165,CCDC111,HERC2,
493,EIF2S2,CDC123,
804,GDE1,FAM84B,
3,MRPL46,MRPL48,
808,GABPB1,TPD52L2,
165,ZNF286A,HERC2,
11,CDK8,MED9,
35,POLR3E,POLR3A,
436,ASTL,JMJD8,
141,GEMIN6,SNRNP70,
257,PFDN4,ERCC8,
78,NFATC2IP,ACTR6,
992,GRIA3,GLRB,
392,IFNA10,IFIT1,
1,SNRPE,EAPP,
11,CCNC,MED25,
526,CSN1S1,PDE10A,
1,LSM5,MEPCE,
96,PSMC3,PARD3,
78,P4HA3,ACTR6,
3,MRPL50,MRPL30,
184,OAZ3,IL1F10,
130,COPG,ARCN1,
3,MRPS30,MRPL32,
330,TRABD,NME2,
30,MYCL1,DMAP1,
14,NDUFS3,NDUFB3,
13,RUNDC3A,REPS1,
25,WDR83,GIGYF1,
123,STBD1,GYG1,
143,C17orf59,LAMTOR1,
3,MRPL47,MRPL1,
3,MRPL47,MRPL30,
33,PSMB1,PSMB5,
939,HBZ,SIRT5,
12,ZSCAN20,ZSCAN23,
136,IFNA21,IFNA14,
262,STRAP,C11orf68,
74,GNAI3,GNG10,
130,COPG,COPE,
788,IRF9,UBE2R2,
14,NDUFS3,NDUFV2,
3,MRPS30,MRPL44,
236,DCAF7,ZNF503,
415,SLC25A43,NDEL1,
12,ZNF396,ZSCAN20,
299,PLA2G10,KIAA0146,
1,CD2BP2,EFTUD2,
20,GRINL1A,POLR2A,
44,ZIC1,PLA2G4E,
1070,LZTS2,SIPA1L3,
10,MDK,MLLT3,
289,IL13RA2,SLC25A23,
15,C14orf104,STX1A,
13,RUNDC3A,AP2M1,
224,SPACA1,TATDN2,
220,NF2,AMOTL1,
886,FRMD1,BPIL1,
35,GPN3,POLR1E,
16,AURKAIP1,C4orf14,
86,TUBB2B,EML6,
3,MRPL47,MRPL27,
2,MXD1,SAP130,
51,IMPDH1,PUSL1,
62,SEPT2,SEPT11,
497,CD36,C3orf52,
20,GRINL1A,POLR2I,
3,MRPL50,MRPL16,
3,MRPL47,MRPL2,
2,MBD3L1,RBBP7,
85,KLK15,SMG7,
240,KIAA1967,KCNAB2,
12,ZNF397,ZNF192,
72,C12orf34,PBX1,
15,C14orf104,SYN2,
1307,CTPS2,CTPS,
40,ANO6,ANAPC4,
28,GDI1,RAB7A,
14,NDUFS3,ECSIT,
73,ATP6V0A2,ATP6V0A1,
27,GADD45B,CNOT8,
54,CETN1,PPIP5K2,
20,POLR2D,RPRD1A,
24,CUL5,FEM1C,
83,ADRM1,PSMD4,
119,ARPC5,ACTR3,
472,UNC5CL,NUMB,
35,GPN3,POLR3B,
27,GADD45B,C2orf29,
12,ZNF444,ZNF174,
156,ANGPT2,ZZEF1,
133,TSEN15,TSEN54,
44,TBC1D22B,CHI3L2,
279,CYP2B6,ATP2B3,
68,EIF3F,EIF3D,
1,SNRPN,TFIP11,
106,RCC1,DLGAP5,
208,APBB2,WDR41,
109,FOXS1,PPP2R2D,
1191,RIT1,RIT2,
197,PRMT8,ANGEL2,
195,PRDX3,OPA1,
741,PFKL,PFKP,
3,MRPL50,MRPL35,
210,EXOC1,EXOC5,
1278,MAT2B,MAT2A,
516,WDR18,PELP1,
119,ACTR3B,CHURC1,
16,RG9MTD3,C4orf14,
775,DKKL1,XRCC2,
1,SNRPE,SF3B1,
268,TRIM23,RBM15B,
160,CREB5,JUN,
190,TSC22D4,MAD2L1,
1,LSM6,LSM4,
1168,MTRF1L,HEMK1,
3,MRPL41,MRPL30,
1,PRPF19,TFIP11,
171,NICN1,C17orf71,
27,MMP7,CNOT3,
11,MED7,CDK19,
3,MRPL10,MRPL49,
1,SNRPF,TOE1,
321,RTN1,METTL7A,
48,EXOSC7,EXOSC5,
690,FRMPD2,PKN2,
336,FAM153B,MAP1A,
183,HAVCR2,CNKSR3,
438,RRM1,RRM2,
110,C15orf24,C19orf63,
20,LMO2,POLR2G,
71,MECP2,URB1,
17,CCT3,CCT2,
33,PSMB4,PSMF1,
33,PSMB2,PSMB5,
217,NAGK,HNRNPH1,
1261,LRRC10,ENOSF1,
14,NDUFA13,NDUFB5,
447,FBXO40,CUL1,
148,DSCC1,RFC2,
176,DLK1,CABLES1,
2,MXD3,ING2,
3,MRPS30,ICT1,
3,MRPS30,MRPL22,
170,MAGEA1,EIF4G2,
110,TTC35,TMEM85,
544,OCRL,INPP5B,
102,RPP25,POP1,
68,EIF3M,EIF3K,
22,FCF1,HSPC159,
377,NELL1,TRMT2B,
102,C18orf21,RPP38,
44,TBC1D22B,ARSF,
273,SPG20,SMURF1,
470,HCCS,METTL16,
2,HDAC1,BAHD1,
15,HAX1,MAPT,
30,PLAC1,VPS72,
36,ARL13B,RABL5,
45,VPS29,COMMD8,
3,MRPL47,MRPL40,
27,RCSD1,CAPZA1,
16,MRPS34,MRPS18B,
19,SNX27,IGHM,
20,PIH1D1,POLR2A,
48,EXOSC3,EXOSC2,
221,FECH,RDBP,
111,CENPC1,MIS12,
7,ILF2,HNRNPR,
3,MRPL47,MRPL15,
3,MRPS30,MRPL13,
92,KARS,EPRS,
29,VAPB,FAM82A2,
25,WDR83,NUMA1,
77,CLK2,GPATCH8,
61,SCGB2A2,LARGE,
170,MAGEA1,DST,
158,C22orf41,CEP110,
844,CYP4B1,PKLR,
231,SPSB2,ARHGEF10,
1,PRPF31,TUT1,
3,MRPL42,MRPL39,
580,C1orf228,ABAT,
35,POLR1C,POLR1B,
47,PRKACG,AKAP9,
41,PRPF40A,C17orf85,
108,SEC13,NUP98,
96,PSMC3,C9orf96,
3,THOC1,THOC6,
102,RPP25,C3orf17,
3,MRPL28,MRPL30,
160,JUNB,JUN,
3,MRPL10,MRPL32,
597,RPN2,DDOST,
153,ARNTL,NPAS2,
252,CXorf56,KLHL36,
2,ZNF219,HDAC2,
3,MRPS30,MRPL1,
589,LCN15,ALKBH2,
33,PSMB2,PSMA2,
16,MRPS34,MRPS2,
810,YPEL1,FBXL20,
92,KARS,EEF1E1,
827,NONO,PSPC1,
659,GHITM,C11orf31,
410,TMEM184A,RBM38,
183,HAVCR2,DGKQ,
884,ZNF556,ANKS3,
3,MRPL50,MRPL17,
603,GBP6,GBP7,
235,SCOC,RBBP8,
14,NDUFB11,NDUFB10,
1,SNRPE,DDX23,
501,CINP,SPATA5,
3,MRPL12,MRPL52,
416,STK17B,KCNIP2,
1179,TNFSF8,ULBP3,
116,GIT2,GIT1,
532,AIFM3,NMT2,
59,TXNDC12,TUBGCP3,
778,QPCT,NUBP1,
72,LMX1B,PBX1,
180,C13orf18,PIK3R4,
18,CKS2,CCNE1,
23,BCL7A,SMARCB1,
216,SCN3B,SLC38A3,
62,SEPT3,SEPT9,
93,WBP2NL,OTUD4,
1,SNRPG,TFIP11,
3,MRPL10,MRPL16,
1,CCDC97,SF3B4,
106,RAN,RANGAP1,
90,COPS3,DCAF11,
22,CDK15,ANKRD22,
73,ATP6V0E1,ATP6V0A2,
330,SLC48A1,NME2,
20,GRINL1A,POLR2J,
75,PRSS48,TRIM68,
11,CDK8,MED23,
7,ELAVL2,PUM1,
25,WDR83,XAB2,
41,PNN,C17orf85,
59,LGALS3BP,TUBGCP5,
976,CBARA1,EFHA2,
39,FOXN2,BTRC,
144,BVES,RNF123,
111,CENPC1,DSN1,
110,TMEM111,KIAA0090,
77,ZC3H18,PRPF4B,
593,NFKBID,NFKB2,
164,IPPK,GPR50,
88,TRIM44,TAF1D,
35,POLR2E,POLR3B,
18,CKS1B,CCNE1,
3,MRPL4,GADD45GIP1,
3,MRPL50,MRPL13,
34,H2AFX,MCM2,
1,RBM17,SF3A2,
98,CDKL1,CDKL4,
16,MRPS15,MRPS9,
176,DLK1,KIAA0528,
2,FAM60A,RBBP4,
201,RHOC,ARHGEF12,
13,RUNDC3A,ITSN1,
3,MRPL42,GADD45GIP1,
17,FBXW4,CCT3,
3,MRPL47,MRPL46,
377,NELL1,EMILIN2,
18,CDK1,CDK3,
3,MRPL42,MRPL13,
3,MRPL10,ICT1,
97,FBXO15,HINT3,
2,MBD3L1,HDAC2,
12,ZNF232,ZNF192,
71,RPL10A,NOL8,
2,ZNF704,BRMS1L,
3,MRPS30,MRPL33,
20,LMO2,RPRD1B,
3,MRPL10,MRPL3,
74,GNAI3,TMEM222,
3,MRPL42,MRPL11,
10,DENND2D,MLLT3,
7,ELAVL2,PAIP2B,
662,NUDT1,ACY1,
73,ATP6V0E1,CCDC115,
400,BTN3A2,PEX13,
3,MRPL47,MRPL44,
324,FSD1,AIDA,
479,ITLN1,ENDOG,
11,TCL1B,MED22,
1,SNRPE,SNRPB2,
14,NDUFS3,ND5,
157,SCGB1D1,SEL1L3,
465,BIN3,PEX11B,
83,ADRM1,PSMD13,
90,COPS6,DCAF11,
83,PSMC5,PSMD4,
3,MRPL47,MRPL19,
3,MRPL42,MRPL43,
677,SH2D2A,KDM1B,
1148,CCDC76,STAG1,
277,PEG10,USP9X,
100,RYBP,RING1,
18,CDK1,CDT1,
9,TRIM28,ZNF708,
106,B2M,RANGAP1,
13,FCHO1,EPS15L1,
1175,VAX2,VPS24,
50,GRB2,WIPF3,
119,ARPC5,ARPC1A,
337,TCTN2,HLA-DMB,
228,CA10,ASS1,
79,CUL3,DCUN1D1,
446,PPIAL4G,DCHS1,
108,NUP43,NUP160,
38,TBC1D14,TRAPPC4,
796,AGK,TIMM10,
74,GNAI3,GNG7,
375,KLK5,FUK,
3,MRPL4,MRPL30,
1,SNRPE,SNRPD1,
1,SNRPF,GCFC1,
8,LGALS9,RRAGC,
36,IFT81,IFT46,
61,SCGB2A2,IDUA,
491,PLSCR4,ZDHHC17,
33,PSMB3,PSMG1,
1,LSM5,NAA38,
62,SEPT2,SEPT4,
15,ARMC1,CRMP1,
32,JMJD6,SCAF1,
576,ABHD5,TMEM38B,
91,RHOF,NAA25,
70,TFB1M,HSPD1,
187,ARL4D,TERF2IP,
30,PLAC1,KAT5,
2,ING2,BAHCC1,
838,XAGE3,RNPEPL1,
876,LPAR4,ARHGEF40,
26,STXBP6,NAPG,
3,MRPL37,MRPS30,
583,KCND2,KCTD17,
14,NDUFB11,ND4,
72,MAB21L2,PBX1,
141,GEMIN6,SIP1,
516,NOL9,PELP1,
3,MRPL10,MRPL27,
859,FGF1,EGFLAM,
42,HIST1H3A,NASP,
64,NGB,MPP2,
47,PRKAR2B,PRKAR1B,
108,NUP43,NUP37,
161,DGCR8,ITGB3BP,
187,CCDC106,TERF2IP,
41,SNIP1,CASC3,
83,PSMD7,PSMD13,
213,ANKMY2,EIF2C4,
9,ZNF419,TRIM39,
1152,RNF25,UBE2D3,
240,KCNAB2,TNNC2,
3,MRPL50,MRPL40,
1,SNRPN,PRPF4,
106,RCC1,RANGAP1,
33,PSMB7,PSMA2,
29,VAPB,DOPEY1,
541,ASB9,CKB,
1006,FAM19A3,NHLRC2,
341,CPNE7,UBTF,
11,CDK8,MED30,
3,MRPL39,MRPL40,
252,PACRG,KLHL36,
13,LSR,REPS1,
8,LGALS3,RRAGC,
855,GET4,UBL4A,
1,SNRPG,SNRPB,
15,CDCA8,VSNL1,
343,MUM1,BAIAP2L1,
3,MRPL10,MRPL17,
92,KARS,IARS,
825,PHOSPHO2,SIGLEC5,
34,RNF146,LIG3,
287,TNFSF13B,PIGQ,
166,ANKRD49,CSNK1E,
2,MXD3,BRMS1L,
35,POLR2E,CD3EAP,
92,RARS,EEF1E1,
39,NUAK1,BTRC,
312,UBA5,UFC1,
1075,C17orf106,CTC1,
33,PSMB1,PSMA5,
2,RBBP7,RBBP4,
8,PBK,LGALS9B,
51,SLC25A44,IMPDH2,
35,GPN3,CD3EAP,
1070,LZTS2,HIPK2,
16,MRPS31,PTCD3,
136,IFNA14,IFNA6,
3,MRPL4,MRPL13,
31,PPP1CA,PPP1R9B,
444,MAPK8IP3,SPAG9,
1,SNRPE,SNRPA1,
83,ADRM1,PSMD14,
979,VPS39,NPAT,
173,UBXN6,POR,
3,MRPL10,MRPL40,
428,VTN,RNF14,
955,CCDC67,DGKH,
8,LGALS9,SLC12A4,
108,NUP43,NUP133,
58,ZFYVE27,ATP5B,
83,PSMD12,PSMD3,
16,MRPS34,MRPS10,
572,BCL2L2,BID,
501,SPATA5L1,C1orf109,
72,LMX1B,MAB21L1,
1,CCDC97,ZRSR2,
705,HLA-C,HLA-A,
23,SS18,ARID1A,
1037,RALB,ALDH18A1,
13,AP2S1,AP2B1,
497,CROT,KLHDC4,
1,SNRPE,SNUPN,
62,CDC42EP4,SEPT6,
763,PPA2,ACSF2,
14,NDUFS6,NDUFV1,
332,HIST1H2BA,ANP32E,
362,LRCH3,LRCH4,
58,ZFYVE27,ATP8,
756,TBC1D7,TSC2,
13,AP2M1,MEA1,
59,TXNDC12,TUBGCP2,
43,HTR3A,LRRC8C,
1123,CSN2,CORO2A,
110,TTC35,C19orf63,
23,DPF3,ARID1A,
54,CETN1,MCM3AP,
60,EEF1A1,EEF1B2,
1,SNRPF,SNRPB,
16,MRPS11,DRAP1,
936,KIAA0174,CHMP1A,
27,MMP7,CNOT10,
1226,ECH1,MCCC2,
3,MRPL28,MRPL10,
131,LZTFL1,BBS2,
43,GABRA3,ABCA7,
238,ADAMTS18,B3GALTL,
20,GRINL1A,RPAP1,
14,PRRT2,NDUFB8,
31,PPP1CC,C19orf2,
73,ATP6V0E1,TMEM199,
3,MRPL41,MRPL45,
121,FBL,RRP9,
92,KARS,LARS,
281,KIF3A,MFHAS1,
140,TTLL7,CSNK2A2,
1,TSSC4,TFIP11,
33,PSMB7,PSMG1,
634,MFF,MGAT5,
100,PCGF5,RNF2,
391,ANKRD12,PHYHIP,
58,ZFYVE27,ATP5F1,
27,MMP7,CNOT6L,
243,C11orf42,SNX5,
12,ZNF397,ZNF24,
17,WDR77,CCT6B,
61,SCGB2A2,FLT1,
41,WSB2,ZC3H14,
62,CDC42EP4,SEPT7,
609,MAPK12,MYLK3,
352,KPNA2,NUP153,
557,DYNC1I2,DYNC1H1,
73,MUC1,ATP6V0A2,
56,DOLPP1,SELENBP1,
21,RPL14,ZCCHC7,
3,MRPL10,MRPL39,
35,GPN3,POLR1C,
351,GMPPB,GMPPA,
1243,PCBP1,MET,
35,GPN3,POLR3A,
37,WDR5,ZXDC,
60,ABTB1,CARS,
2,MXD1,SUDS3,
461,APPL1,ZNF830,
16,MRPS11,MRPS34,
592,EPN3,PHGDH,
106,RAN,TMEM194A,
712,ZNF71,ZNF7,
109,CDCA4,PPP2R1B,
23,SS18,SMARCC1,
11,CDK19,MED13,
44,AIRE,GDPD3,
39,FBXW11,USP37,
3,MRPL47,MRPL23,
1,SNRPN,SF3B1,
225,TCEAL1,ZUFSP,
51,IMPDH2,SMCR8,
187,TINF2,TERF2IP,
769,CSGALNACT2,NADSYN1,
425,SDHA,ACN9,
92,AIMP1,EEF1E1,
30,KAT5,BRD8,
36,ANKRD55,TTC30B,
449,IFI30,PRC1,
39,IL17RD,BTRC,
705,HLA-G,HLA-A,
49,VENTX,AES,
77,ZC3H18,SRSF12,
23,DPF2,SMARCC1,
33,PSMB7,PSMB5,
859,CLDN10,FGF1,
567,ZNF333,ARL15,
412,C9orf6,TAOK2,
329,KLK13,SERPINE2,
13,AP2M1,MAGED4B,
33,PSMB7,PSMA3,
120,CYP1A1,EMG1,
134,BABAM1,SHMT2,
16,MRPS27,MRPS33,
266,OSGEP,LAGE3,
40,PENK,CDC23,
18,CDK1,CDKN1B,
58,ATP5B,ATP5H,
589,C1orf220,NUDT15,
144,ELAC2,RNF123,
14,NDUFA8,NDUFB3,
26,SEC22B,NAPA,
12,ZNF434,ZNF446,
3,MRPL10,MRPL15,
551,LPIN3,SMG6,
11,NR1I3,MED1,
790,TDO2,ASMTL,
306,LRRC6,PHLPP2,
259,CCNB1IP1,HIST1H1D,
264,MUS81,SLX4,
219,PDHB,PDHX,
86,TUBB3,EML1,
165,NCOA4,NEURL4,
242,DLD,OGDH,
411,DPEP1,NCAPH,
1,C16orf57,EAPP,
219,STAT5A,PDK2,
393,MYLIP,CTR9,
33,PSMB1,PSMA3,
738,LPPR1,JAG2,
240,NOSIP,TNNC2,
634,SPATA19,MFF,
180,ATG14,PIK3R4,
3,MRPL42,MRPL41,
92,RARS,IARS,
40,MAGIX,ANAPC16,
41,PRPF40A,PNN,
3,MRPL10,MRPL48,
614,NLGN4Y,PRIM2,
48,RBM11,ZCCHC8,
19,NARG2,HP,
123,GBE1,GYG1,
209,GLT25D2,DOK1,
88,TAF1B,TAF1C,
3,MRPL4,MRPL27,
77,ZC3H18,PPHLN1,
238,CACNG4,DPY19L3,
666,OR52W1,PROZ,
157,SCGB1D1,SEMA4G,
54,TSPO,CRABP1,
8,LGALS9C,SLC12A4,
178,BPHL,SETD3,
129,CD44,C17orf42,
9,TRIM28,ZNF460,
33,PSMB2,PSMB6,
775,DKKL1,CANT1,
3,MRPL47,MRPL48,
293,ERI2,DNAJC12,
5,RRS1,APOBEC3C,
7,ELAVL2,FAM120A,
26,STX7,STX10,
270,VWCE,ZNF316,
83,CCDC74B,PSMD7,
104,FAM122A,PPP3R1,
3,MRPL42,MRPL27,
730,RHOT2,RHOT1,
4,PHTF1,CAPN5,
1226,RECK,MCCC2,
28,FAM71F2,RAB2A,
3,MRPL4,MRPL52,
3,MRPL42,MRPL30,
348,FSCN3,FLAD1,
3,MRPL4,MRPL24,
33,PSMB9,PSMA7,
265,THEM4,KIAA0391,
312,BOLL,CDC20B,
249,MATN4,NACC1,
3,MRPL4,MRPL2,
35,POLR2E,POLR3A,
137,TAF5L,TAF9B,
38,TTC15,TRAPPC3,
672,NT5E,SLC16A2,
1,LSM6,PRPF4,
809,PARK2,PCYT2,
98,CDKL4,HSP90AB4P,
1,SNRPN,HTATSF1,
14,NDUFS3,ND4,
9,TRIM28,ZNF33A,
15,C14orf104,SNCB,
15,NUFIP1,SNCB,
360,PRKCZ,WWC1,
531,KRIT1,UBFD1,
1,SNRPG,SNRPF,
17,WDR86,TXNDC9,
141,DDX20,PHAX,
15,DGUOK,SNCB,
208,APBB2,APBB1,
34,SSRP1,XPC,
141,GEMIN8,SIP1,
17,KLHL33,CCT3,
68,EIF3G,EIF3C,
137,CCDC101,TAF12,
214,TMOD4,LRRFIP2,
37,WDR5,ASH2L,
33,PSMB7,PSMA6,
148,DSCC1,RFC3,
965,ATP5G3,COL20A1,
436,INHA,PDIA3,
806,CCNJL,WDR74,
73,ATP6V0C,VMA21,
3,MRPL47,MRPL20,
673,EFCAB4A,C9orf89,
270,VWCE,EMID2,
197,PRMT8,LSM14A,
2,FAM60A,HDAC2,
106,RCC1,RANBP2,
3,MRPS30,MRPL19,
111,ZWINT,NUF2,
22,FCF1,YOD1,
72,MEIS2,PIGL,
127,RPS19BP1,DCTN6,
517,ALKBH3,ASCC3,
661,FCGR2A,FCGR2C,
11,MED1,MED25,
12,ZSCAN22,SCAND1,
12,ZNF434,ZNF192,
22,CDK15,ENDOU,
122,CCDC43,PNKP,
1,CD2BP2,SNRPD1,
16,MRPS11,MRPS9,
948,PMPCA,PMPCB,
3,MRPL41,GADD45GIP1,
175,LCN1,PDYN,
16,MRPS11,MRPS18C,
33,PSMB4,PSMA3,
105,LRFN4,ACBD3,
28,RAB1A,GDI2,
5,RRS1,PURB,
132,TADA1,TAF10,
124,TMEM30B,CDHR1,
59,LGALS3BP,TUBGCP6,
197,PRMT8,DHX9,
40,PENK,ANAPC5,
872,IL16,NRBP2,
1246,PVRL3,MAK,
13,RUNDC3A,AP1B1,
906,IER3IP1,VPS13C,
92,SDCBP,AIMP2,
927,SUOX,FHOD1,
63,UNC119,UNC119B,
3,MRPS30,MRPL23,
51,IMPDH1,STK19,
3,MRPL42,MRPL49,
60,EEF1D,EEF1B2,
421,ANXA2,ANXA13,
3,MRPL47,MRPL9,
16,MRPS31,MRPS9,
564,MFSD11,SMAP2,
393,TULP2,PAF1,
16,RG9MTD3,MRPS33,
23,BCL7C,SMARCC1,
77,ZC3H18,SRSF8,
4,HSPA8,HSPBP1,
3,MRPL42,MRPL28,
77,CLK3,SRSF8,
3,MRPL35,MRPL4,
23,DPF2,ARID1A,
31,PPP1CA,RPAP3,
694,CDRT15,DPY19L1,
3,MRPL50,MRPL39,
3,MRPL42,MRPL55,
244,PLXNB1,HBB,
20,GPN2,RPAP1,
1041,USP38,AHSG,
633,GPR183,ITPRIPL1,
26,CLEC12A,STX18,
1,SNRPF,SF3A2,
3,MRPL28,GADD45GIP1,
284,MYL3,MYH10,
121,FBL,ZNF496,
73,ATP6V0E1,VMA21,
2,ZNF219,BEND7,
3,MRPL41,MRPL27,
444,C3orf43,MAPK8IP3,
119,ARPC1B,ARPC5,
19,SNX27,APOA4,
1,SNRPG,DDX23,
308,REEP5,RNFT1,
83,PSMD12,PSMD4,
458,SLC35A2,PRSS2,
29,VAPB,SPEG,
113,GTF2H2D,GTF2H5,
17,CCT3,CCT6B,
48,EXOSC1,EXOSC4,
78,ACTR6,SRCAP,
354,PTP4A2,CNNM4,
42,HIST1H3A,IPO4,
11,TCL1B,MED24,
119,ARPC1A,ACTR2,
20,LMO2,POLR2C,
3,MRPS18A,MRPS30,
1030,AOC2,LEMD3,
1,SNRPN,SNRPC,
450,TCTEX1D2,CLMN,
59,TUBG2,TUBGCP2,
1106,TOM1L2,C1orf144,
3,MRPL41,MRPL32,
201,RHOC,DIAPH1,
3,MRPL4,MRPL32,
127,DEFB127,DCTN5,
1211,TGDS,GABARAP,
97,PEX19,HINT3,
104,TMEM200A,PPP3CA,
149,NSMCE4A,SMC6,
92,KARS,MARS,
1,C16orf57,PRPF19,
13,AP2M1,SV2A,
33,PSMB7,PSMA7,
710,DNAJC7,GREB1,
3,MRPL10,GADD45GIP1,
1,SYF2,PRPF19,
528,PNO1,UTP14A,
32,JMJD6,CCNL1,
20,LMO2,POLR2D,
8,LGALS3,OSTM1,
49,TLE3,MYL1,
27,GADD45B,CNOT1,
97,PEX19,PEX16,
1003,FUNDC2,FUNDC1,
2,RBBP7,HDAC2,
2,GATAD2A,MTA2,
3,MRPL39,MRPL13,
12,ZNF397,ZNF394,
